CODES,DATES,OPEN,CLOSE,HIGH,LOW,VOLUME,TR,EFFECT_RATIO,SMOOTH,MIDDLE,TOP,BOTTOM,BUY,SELL
600309.SH,2010/05/13,8.797297,9.066504,9.095347,8.667501,10026035.0,0.4278460000000006,0.06079007176636419,0.25058831280417176,10.248088368558582,10.353562919336602,10.142613817780562,0,0
600309.SH,2010/05/14,9.085733,9.215529,9.311674,8.989587,11788280.0,0.3220869999999998,0.07413778138980699,0.10112090342920854,10.431995086129657,10.548397288771476,10.315592883487838,0,0
600309.SH,2010/05/17,9.127622,8.561114,9.127622,8.448789,9774392.0,0.7667400000000004,0.1362485150743533,0.10915823395515259,10.31674899809131,10.446921814497376,10.186576181685243,0,0
600309.SH,2010/05/18,8.546463000000001,8.570881,8.644136999999999,8.243674,13200436.0,0.40046299999999846,0.0461776838073959,0.1465582456361697,10.33822940376227,10.453805817732146,10.222652989792394,0,0
600309.SH,2010/05/19,8.458556,8.531812,8.766229,8.399952,6514432.0,0.3662769999999984,0.14428298660030173,0.09232204616359323,10.606939908745792,10.705336022923774,10.50854379456781,0,0
600309.SH,2010/05/20,8.492742,8.522044000000001,8.868787,8.399952,10934837.0,0.46883499999999856,0.08455400799010182,0.1513962069851279,10.5230638176577,10.621089136276623,10.425038499038777,0,0
600309.SH,2010/05/21,8.302278,8.673439,8.692974000000001,8.062977,9914090.0,0.6299970000000013,0.02098546971020735,0.11543037040264195,10.442127149317082,10.529070040903592,10.355184257730572,0,0
600309.SH,2010/05/24,8.717392,9.103204,9.181343,8.717392,11637929.0,0.5079039999999999,0.010599881061824967,0.07715254090077002,10.557437859424695,10.601129716769993,10.513746002079397,0,0
600309.SH,2010/05/25,9.054367,8.805299,9.073902,8.785764,10183620.0,0.3174399999999995,0.11864395995437392,0.07089885311249675,10.424125756758361,10.474694979869776,10.373556533646946,0,0
600309.SH,2010/05/26,8.805299,8.605067,8.91274,8.497626,8854082.0,0.4151139999999991,0.014150861388975701,0.13595765330585957,10.522216062947367,10.575355473945727,10.469076651949006,0,0
600309.SH,2010/05/27,8.653903999999999,8.824833,8.829717,8.434138,11034970.0,0.3955789999999997,0.08188972721697084,0.07303707782561977,10.635375336681383,10.687180038296642,10.583570635066124,0,0
600309.SH,2010/05/28,8.932275,9.015297,9.147157,8.849252,17088822.0,0.32232400000000005,0.15814670516385465,0.11382607230269211,10.624636992800703,10.676304168123519,10.572969817477887,0,0
600309.SH,2010/05/31,9.00553,8.741811,9.103204,8.732042999999999,10461378.0,0.37116100000000074,0.07425767498029212,0.15974425257178343,10.470017729189326,10.524997254418878,10.415038203959774,0,0
600309.SH,2010/06/01,8.673439,8.522044000000001,8.692974000000001,8.346231,8040464.0,0.3955800000000007,0.05555571864832915,0.10923042794512214,10.621876691592453,10.676557328973596,10.56719605421131,0,0
600309.SH,2010/06/02,8.46344,8.634369,8.639253,8.399952,6367172.0,0.23930099999999932,0.19085495251575535,0.0979690348850154,10.56448144753046,10.615876781970899,10.51308611309002,0,0
600309.SH,2010/06/03,8.644136999999999,8.673439,8.775996000000001,8.541578999999999,9394254.0,0.23441700000000232,0.055555649182886004,0.17943954129980966,10.440520753834234,10.499273850193607,10.38176765747486,0,0
600309.SH,2010/06/04,8.614835000000001,8.673439,8.766229,8.541578999999999,9180956.0,0.22465000000000046,0.03132002939058512,0.09796899305636145,10.518637188043105,10.578617580667185,10.458656795419024,0,0
600309.SH,2010/06/07,8.468324,8.605067,8.722275999999999,8.399952,8842527.0,0.3223239999999983,0.10416649879583274,0.08337550156852437,10.554883127826315,10.6117469545542,10.49801930109843,0,0
600309.SH,2010/06/08,8.5953,8.932275,8.937158,8.536696000000001,9980572.0,0.4004619999999992,0.03794606231103397,0.1272400422856627,10.388434975497159,10.445233639050356,10.331636311943962,0,0
600309.SH,2010/06/09,8.937158,9.127622,9.205761,8.888321000000001,11079041.0,0.3174399999999995,0.1807776685499872,0.08736537085395593,10.558710865442414,10.611807811032651,10.505613919852177,0,0
600309.SH,2010/06/10,9.09832,9.083669,9.225296,8.971344,8293694.0,0.25395199999999996,0.2818630034137228,0.17337149934192775,10.583511150663494,10.64818963899968,10.518832662327307,0,0
600309.SH,2010/06/11,9.132506,9.117855,9.254598,9.000646000000001,7403011.0,0.2539519999999982,0.240876206969222,0.23424008807708036,10.530467798006748,10.621576997384704,10.439358598628793,0,0
600309.SH,2010/06/17,9.235064,8.888321000000001,9.254598,8.873669999999999,6550449.0,0.3809280000000008,0.0997730425851608,0.20955986656211215,10.62055262018467,10.718712475611271,10.522392764758068,0,0
600309.SH,2010/06/18,8.888321000000001,8.605067,8.985994999999999,8.546463000000001,7001034.0,0.43953199999999804,0.028866118661313386,0.12459452026633337,10.47223955540543,10.566219079348134,10.378260031462727,0,0
600309.SH,2010/06/21,8.546463000000001,8.873669999999999,8.898089,8.541578999999999,6923760.0,0.3565100000000019,0.11178861450255832,0.08189787790358655,10.378000231699124,10.472420090429738,10.28358037296851,0,0
600309.SH,2010/06/22,8.839483999999999,8.893205,9.00553,8.795531,4377139.0,0.20999899999999982,0.017660249702461016,0.1318297033563792,10.370513235335789,10.464535771115296,10.276490699556282,0,0
600309.SH,2010/06/23,8.839483999999999,8.64902,8.839483999999999,8.570881,6469686.0,0.32232400000000005,0.21585903282387658,0.07515025788535287,10.494543938268105,10.592201746280118,10.396886130256092,0,0
600309.SH,2010/06/24,8.5953,8.605067,8.732042999999999,8.585532,3600154.0,0.1465109999999985,0.22685182551916006,0.19449576170039878,10.60869847223568,10.70955174361551,10.50784520085585,0,0
600309.SH,2010/06/25,8.624602000000001,8.189953,8.624602000000001,8.150884,10341243.0,0.47371800000000164,0.3983229177487918,0.20111507773196732,10.516912651681885,10.607458887054458,10.426366416309312,0,0
600309.SH,2010/06/28,8.150884,7.774839,8.229023,7.618561,12528353.0,0.6104620000000001,0.4351143546682844,0.30436648810679934,10.604567612364574,10.733667047962987,10.475468176766162,0,0
600309.SH,2010/06/29,7.765072,7.262052000000001,7.794374,7.081355,11274159.0,0.7130190000000001,0.47413755060382085,0.32652047162821424,10.343668958954336,10.503790315521144,10.183547602387527,0,0
600309.SH,2010/06/30,7.154610000000001,7.125308,7.227866000000001,7.017867,10425754.0,0.24418500000000076,0.642728634249166,0.35001831004101036,10.245896129615538,10.412251712157094,10.079540547073982,0,0
600309.SH,2010/07/01,7.130192,6.749264,7.174144999999999,6.61252,15779870.0,0.5616249999999994,0.6979329028427224,0.4515355216984225,9.853830182649377,10.052085227292062,9.655575138006691,0,0
600309.SH,2010/07/02,6.695542999999999,6.739496000000001,6.846938000000001,6.495312,16421360.0,0.35162600000000044,0.6157478557926647,0.48477680171174675,9.620184669792954,9.798793500741843,9.441575838844065,0,0
600309.SH,2010/07/05,6.597869,6.529498,6.715078,6.470893,12316383.0,0.2686030000000006,0.6439391071959308,0.4352890314450453,9.490046035122889,9.64872722788957,9.331364842356209,0,0
